Date,Close,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8
7/25/2017,0.765147424,0.797656334,0.780915866,0.827195161,0.82179501,0.792256183,0.846311697,0.837617453,0.82179501
7/26/2017,0.695809483,0.765147424,0.797656334,0.780915866,0.827195161,0.82179501,0.792256183,0.846311697,0.837617453
7/27/2017,0.633275732,0.695809483,0.765147424,0.797656334,0.780915866,0.827195161,0.82179501,0.792256183,0.846311697
7/28/2017,0.640781942,0.633275732,0.695809483,0.765147424,0.797656334,0.780915866,0.827195161,0.82179501,0.792256183
7/31/2017,0.598606761,0.640781942,0.633275732,0.695809483,0.765147424,0.797656334,0.780915866,0.827195161,0.82179501
8/1/2017,0.628469597,0.598606761,0.640781942,0.633275732,0.695809483,0.765147424,0.797656334,0.780915866,0.827195161
8/2/2017,0.673182849,0.628469597,0.598606761,0.640781942,0.633275732,0.695809483,0.765147424,0.797656334,0.780915866
8/3/2017,0.671994816,0.673182849,0.628469597,0.598606761,0.640781942,0.633275732,0.695809483,0.765147424,0.797656334
8/4/2017,0.691975375,0.671994816,0.673182849,0.628469597,0.598606761,0.640781942,0.633275732,0.695809483,0.765147424
8/7/2017,0.683119127,0.691975375,0.671994816,0.673182849,0.628469597,0.598606761,0.640781942,0.633275732,0.695809483
8/8/2017,0.697051517,0.683119127,0.691975375,0.671994816,0.673182849,0.628469597,0.598606761,0.640781942,0.633275732
8/9/2017,0.714169997,0.697051517,0.683119127,0.691975375,0.671994816,0.673182849,0.628469597,0.598606761,0.640781942
8/10/2017,0.715088022,0.714169997,0.697051517,0.683119127,0.691975375,0.671994816,0.673182849,0.628469597,0.598606761
8/11/2017,0.659844476,0.715088022,0.714169997,0.697051517,0.683119127,0.691975375,0.671994816,0.673182849,0.628469597
8/14/2017,0.682633114,0.659844476,0.715088022,0.714169997,0.697051517,0.683119127,0.691975375,0.671994816,0.673182849
8/16/2017,0.761691327,0.682633114,0.659844476,0.715088022,0.714169997,0.697051517,0.683119127,0.691975375,0.671994816
8/17/2017,0.705799762,0.761691327,0.682633114,0.659844476,0.715088022,0.714169997,0.697051517,0.683119127,0.691975375
8/18/2017,0.666864672,0.705799762,0.761691327,0.682633114,0.659844476,0.715088022,0.714169997,0.697051517,0.683119127
8/21/2017,0.675558916,0.666864672,0.705799762,0.761691327,0.682633114,0.659844476,0.715088022,0.714169997,0.697051517
8/22/2017,0.709687871,0.675558916,0.666864672,0.705799762,0.761691327,0.682633114,0.659844476,0.715088022,0.714169997
8/23/2017,0.690139324,0.709687871,0.675558916,0.666864672,0.705799762,0.761691327,0.682633114,0.659844476,0.715088022
8/24/2017,0.72464629,0.690139324,0.709687871,0.675558916,0.666864672,0.705799762,0.761691327,0.682633114,0.659844476
8/25/2017,0.723296252,0.72464629,0.690139324,0.709687871,0.675558916,0.666864672,0.705799762,0.761691327,0.682633114
8/28/2017,0.740414732,0.723296252,0.72464629,0.690139324,0.709687871,0.675558916,0.666864672,0.705799762,0.761691327
8/29/2017,0.655092343,0.740414732,0.723296252,0.72464629,0.690139324,0.709687871,0.675558916,0.666864672,0.705799762
8/30/2017,0.660384491,0.655092343,0.740414732,0.723296252,0.72464629,0.690139324,0.709687871,0.675558916,0.666864672
8/31/2017,0.670266767,0.660384491,0.655092343,0.740414732,0.723296252,0.72464629,0.690139324,0.709687871,0.675558916
9/1/2017,0.633437736,0.670266767,0.660384491,0.655092343,0.740414732,0.723296252,0.72464629,0.690139324,0.709687871
9/4/2017,0.580624257,0.633437736,0.670266767,0.660384491,0.655092343,0.740414732,0.723296252,0.72464629,0.690139324
9/5/2017,0.602062858,0.580624257,0.633437736,0.670266767,0.660384491,0.655092343,0.740414732,0.723296252,0.72464629
9/6/2017,0.595852684,0.602062858,0.580624257,0.633437736,0.670266767,0.660384491,0.655092343,0.740414732,0.723296252
9/7/2017,0.592288584,0.595852684,0.602062858,0.580624257,0.633437736,0.670266767,0.660384491,0.655092343,0.740414732
9/8/2017,0.547359326,0.592288584,0.595852684,0.602062858,0.580624257,0.633437736,0.670266767,0.660384491,0.655092343
9/11/2017,0.565395831,0.547359326,0.592288584,0.595852684,0.602062858,0.580624257,0.633437736,0.670266767,0.660384491
9/12/2017,0.59072254,0.565395831,0.547359326,0.592288584,0.595852684,0.602062858,0.580624257,0.633437736,0.670266767
9/13/2017,0.586564424,0.59072254,0.565395831,0.547359326,0.592288584,0.595852684,0.602062858,0.580624257,0.633437736
9/14/2017,0.483907549,0.586564424,0.59072254,0.565395831,0.547359326,0.592288584,0.595852684,0.602062858,0.580624257
9/15/2017,0.404147316,0.483907549,0.586564424,0.59072254,0.565395831,0.547359326,0.592288584,0.595852684,0.602062858
9/18/2017,0.320930986,0.404147316,0.483907549,0.586564424,0.59072254,0.565395831,0.547359326,0.592288584,0.595852684
9/19/2017,0.332109299,0.320930986,0.404147316,0.483907549,0.586564424,0.59072254,0.565395831,0.547359326,0.592288584
9/20/2017,0.305756561,0.332109299,0.320930986,0.404147316,0.483907549,0.586564424,0.59072254,0.565395831,0.547359326
9/21/2017,0.349011772,0.305756561,0.332109299,0.320930986,0.404147316,0.483907549,0.586564424,0.59072254,0.565395831
9/22/2017,0.391942974,0.349011772,0.305756561,0.332109299,0.320930986,0.404147316,0.483907549,0.586564424,0.59072254
9/25/2017,0.222108219,0.391942974,0.349011772,0.305756561,0.332109299,0.320930986,0.404147316,0.483907549,0.586564424
9/26/2017,0.210659898,0.222108219,0.391942974,0.349011772,0.305756561,0.332109299,0.320930986,0.404147316,0.483907549
9/27/2017,0.190517334,0.210659898,0.222108219,0.391942974,0.349011772,0.305756561,0.332109299,0.320930986,0.404147316
9/28/2017,0.288368074,0.190517334,0.210659898,0.222108219,0.391942974,0.349011772,0.305756561,0.332109299,0.320930986
9/29/2017,0.292958203,0.288368074,0.190517334,0.210659898,0.222108219,0.391942974,0.349011772,0.305756561,0.332109299
10/2/2017,0.243654822,0.292958203,0.288368074,0.190517334,0.210659898,0.222108219,0.391942974,0.349011772,0.305756561
10/3/2017,0.275839724,0.243654822,0.292958203,0.288368074,0.190517334,0.210659898,0.222108219,0.391942974,0.349011772
10/4/2017,0.266551463,0.275839724,0.243654822,0.292958203,0.288368074,0.190517334,0.210659898,0.222108219,0.391942974
10/5/2017,0.234582568,0.266551463,0.275839724,0.243654822,0.292958203,0.288368074,0.190517334,0.210659898,0.222108219
10/6/2017,0.238632682,0.234582568,0.266551463,0.275839724,0.243654822,0.292958203,0.288368074,0.190517334,0.210659898
