Class,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8
0,0.275839724,0.243654822,0.292958203,0.288368074,0.190517334,0.210659898,0.222108219,0.391942974
1,0.266551463,0.275839724,0.243654822,0.292958203,0.288368074,0.190517334,0.210659898,0.222108219
1,0.234582568,0.266551463,0.275839724,0.243654822,0.292958203,0.288368074,0.190517334,0.210659898
1,0.238632682,0.234582568,0.266551463,0.275839724,0.243654822,0.292958203,0.288368074,0.190517334
0,0.26358138,0.238632682,0.234582568,0.266551463,0.275839724,0.243654822,0.292958203,0.288368074
1,0.289826115,0.26358138,0.238632682,0.234582568,0.266551463,0.275839724,0.243654822,0.292958203
1,0.255157144,0.289826115,0.26358138,0.238632682,0.234582568,0.266551463,0.275839724,0.243654822
1,0.269953559,0.255157144,0.289826115,0.26358138,0.238632682,0.234582568,0.266551463,0.275839724
0,0.323955071,0.269953559,0.255157144,0.289826115,0.26358138,0.238632682,0.234582568,0.266551463
0,0.347553732,0.323955071,0.269953559,0.255157144,0.289826115,0.26358138,0.238632682,0.234582568
0,0.326493142,0.347553732,0.323955071,0.269953559,0.255157144,0.289826115,0.26358138,0.238632682
1,0.303110487,0.326493142,0.347553732,0.323955071,0.269953559,0.255157144,0.289826115,0.26358138
0,0.243492818,0.303110487,0.326493142,0.347553732,0.323955071,0.269953559,0.255157144,0.289826115
1,0.258505238,0.243492818,0.303110487,0.326493142,0.347553732,0.323955071,0.269953559,0.255157144
1,0.179069014,0.258505238,0.243492818,0.303110487,0.326493142,0.347553732,0.323955071,0.269953559
1,0.193487418,0.179069014,0.258505238,0.243492818,0.303110487,0.326493142,0.347553732,0.323955071
0,0.193811427,0.193487418,0.179069014,0.258505238,0.243492818,0.303110487,0.326493142,0.347553732
1,0.207581812,0.193811427,0.193487418,0.179069014,0.258505238,0.243492818,0.303110487,0.326493142
1,0.204449725,0.207581812,0.193811427,0.193487418,0.179069014,0.258505238,0.243492818,0.303110487
1,0.227940382,0.204449725,0.207581812,0.193811427,0.193487418,0.179069014,0.258505238,0.243492818
0,0.312884761,0.227940382,0.204449725,0.207581812,0.193811427,0.193487418,0.179069014,0.258505238
1,0.354843936,0.312884761,0.227940382,0.204449725,0.207581812,0.193811427,0.193487418,0.179069014
0,0.330111243,0.354843936,0.312884761,0.227940382,0.204449725,0.207581812,0.193811427,0.193487418
0,0.335889405,0.330111243,0.354843936,0.312884761,0.227940382,0.204449725,0.207581812,0.193811427
0,0.326979155,0.335889405,0.330111243,0.354843936,0.312884761,0.227940382,0.204449725,0.207581812
0,0.254239119,0.326979155,0.335889405,0.330111243,0.354843936,0.312884761,0.227940382,0.204449725
0,0.219354142,0.254239119,0.326979155,0.335889405,0.330111243,0.354843936,0.312884761,0.227940382
0,0.214764013,0.219354142,0.254239119,0.326979155,0.335889405,0.330111243,0.354843936,0.312884761
1,0.176908953,0.214764013,0.219354142,0.254239119,0.326979155,0.335889405,0.330111243,0.354843936
0,0.086996436,0.176908953,0.214764013,0.219354142,0.254239119,0.326979155,0.335889405,0.330111243
0,0.101630846,0.086996436,0.176908953,0.214764013,0.219354142,0.254239119,0.326979155,0.335889405
1,0.094178637,0.101630846,0.086996436,0.176908953,0.214764013,0.219354142,0.254239119,0.326979155
0,0,0.094178637,0.101630846,0.086996436,0.176908953,0.214764013,0.219354142,0.254239119
1,0.059941678,0,0.094178637,0.101630846,0.086996436,0.176908953,0.214764013,0.219354142
0,0.048115347,0.059941678,0,0.094178637,0.101630846,0.086996436,0.176908953,0.214764013
1,0.109677071,0.048115347,0.059941678,0,0.094178637,0.101630846,0.086996436,0.176908953
1,0.101360838,0.109677071,0.048115347,0.059941678,0,0.094178637,0.101630846,0.086996436
1,0.103682903,0.101360838,0.109677071,0.048115347,0.059941678,0,0.094178637,0.101630846
1,0.117831299,0.103682903,0.101360838,0.109677071,0.048115347,0.059941678,0,0.094178637
1,0.124365482,0.117831299,0.103682903,0.101360838,0.109677071,0.048115347,0.059941678,0
1,0.133977751,0.124365482,0.117831299,0.103682903,0.101360838,0.109677071,0.048115347,0.059941678
1,0.199535587,0.133977751,0.124365482,0.117831299,0.103682903,0.101360838,0.109677071,0.048115347
0,0.209741873,0.199535587,0.133977751,0.124365482,0.117831299,0.103682903,0.101360838,0.109677071
0,0.255427152,0.209741873,0.199535587,0.133977751,0.124365482,0.117831299,0.103682903,0.101360838
0,0.218598121,0.255427152,0.209741873,0.199535587,0.133977751,0.124365482,0.117831299,0.103682903
1,0.156982396,0.218598121,0.255427152,0.209741873,0.199535587,0.133977751,0.124365482,0.117831299
1,0.141321957,0.156982396,0.218598121,0.255427152,0.209741873,0.199535587,0.133977751,0.124365482
0,0.147964143,0.141321957,0.156982396,0.218598121,0.255427152,0.209741873,0.199535587,0.133977751
